0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,262 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 468000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,274 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,274 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,274 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468000 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,274 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 468000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 864000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 864000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 864000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 864000 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 867640 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 867640 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 867640 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,764 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 867640 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,790 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 869460 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,790 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 869460 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,790 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 869460 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:40,790 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 869460 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,264 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 896760 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,264 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 896760 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,265 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 896760 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,265 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 896760 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,265 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 896760 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,265 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 896760 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,265 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 896760 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,265 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 2, position: 896760 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,292 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 898125 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,292 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 898125 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,292 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 898125 - Failed to decode the audio samples.
0x7fd9ef7fc000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,292 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 1, position: 898125 - Failed to decode the audio samples.
0x7fd9efffd000 | IO.Audio             | ERROR | 2026-02-20 22:33:41,346 | Failed to decode clip </home/avery/Downloads/2026-02-20 21-10-57.mp4>, track: 0, position: 4146400 - Failed to decode the audio samples.
