{ 08 80 3E 3A B0 30 00 00 00 00 20 05 }, Delta:0.136ms, Position:[14910,12464], Pressure:0, PenButtons:[False False False], Tilt:[32,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 56 3A B4 30 00 00 00 00 20 05 }, Delta:0.120ms, Position:[14934,12468], Pressure:0, PenButtons:[False False False], Tilt:[32,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 70 3A BD 30 00 00 00 00 20 05 }, Delta:2.240ms, Position:[14960,12477], Pressure:0, PenButtons:[False False False], Tilt:[32,5], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 8B 3A CA 30 00 00 00 00 20 06 }, Delta:1.946ms, Position:[14987,12490], Pressure:0, PenButtons:[False False False], Tilt:[32,6], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 A7 3A DC 30 00 00 00 00 20 06 }, Delta:5.463ms, Position:[15015,12508], Pressure:0, PenButtons:[False False False], Tilt:[32,6], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C5 3A F2 30 00 00 00 00 21 06 }, Delta:0.122ms, Position:[15045,12530], Pressure:0, PenButtons:[False False False], Tilt:[33,6], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 E4 3A 0C 31 00 00 00 00 21 06 }, Delta:7.847ms, Position:[15076,12556], Pressure:0, PenButtons:[False False False], Tilt:[33,6], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 05 3B 28 31 00 00 00 00 21 07 }, Delta:0.118ms, Position:[15109,12584], Pressure:0, PenButtons:[False False False], Tilt:[33,7], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 27 3B 47 31 00 00 00 00 21 07 }, Delta:0.118ms, Position:[15143,12615], Pressure:0, PenButtons:[False False False], Tilt:[33,7], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 4C 3B 67 31 00 00 00 00 22 07 }, Delta:0.304ms, Position:[15180,12647], Pressure:0, PenButtons:[False False False], Tilt:[34,7], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 72 3B 89 31 00 00 00 00 22 07 }, Delta:3.095ms, Position:[15218,12681], Pressure:0, PenButtons:[False False False], Tilt:[34,7], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 9B 3B AC 31 00 00 00 00 22 08 }, Delta:1.929ms, Position:[15259,12716], Pressure:0, PenButtons:[False False False], Tilt:[34,8], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C5 3B D1 31 00 00 00 00 22 08 }, Delta:4.947ms, Position:[15301,12753], Pressure:0, PenButtons:[False False False], Tilt:[34,8], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 F0 3B F7 31 00 00 00 00 23 08 }, Delta:1.405ms, Position:[15344,12791], Pressure:0, PenButtons:[False False False], Tilt:[35,8], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 1D 3C 1E 32 00 00 00 00 23 08 }, Delta:6.146ms, Position:[15389,12830], Pressure:0, PenButtons:[False False False], Tilt:[35,8], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 4A 3C 46 32 00 00 00 00 23 09 }, Delta:0.182ms, Position:[15434,12870], Pressure:0, PenButtons:[False False False], Tilt:[35,9], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 77 3C 70 32 00 00 00 00 23 09 }, Delta:0.550ms, Position:[15479,12912], Pressure:0, PenButtons:[False False False], Tilt:[35,9], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 A4 3C 9B 32 00 00 00 00 24 09 }, Delta:0.850ms, Position:[15524,12955], Pressure:0, PenButtons:[False False False], Tilt:[36,9], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 D0 3C C8 32 00 00 00 00 24 09 }, Delta:4.287ms, Position:[15568,13000], Pressure:0, PenButtons:[False False False], Tilt:[36,9], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 FA 3C F7 32 00 00 00 00 24 0A }, Delta:4.331ms, Position:[15610,13047], Pressure:0, PenButtons:[False False False], Tilt:[36,10], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 22 3D 27 33 00 00 00 00 24 0A }, Delta:0.112ms, Position:[15650,13095], Pressure:0, PenButtons:[False False False], Tilt:[36,10], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
